[1] "Table 3: characteristics of the response"
   variable        means          sd  lower_bound  upper_bound
1 max_cells  3631086.651 399387.3306 3.552807e+06 3.709367e+06
2  time_max        8.459      0.3491 8.390600e+00 8.527400e+00
3   Q_cells     2328.880     60.7699 2.316969e+03 2.340791e+03
4 max_cells 16546989.857 862272.9627 1.637798e+07 1.671600e+07
5  time_max       58.446      0.1855 5.840960e+01 5.848240e+01
6   Q_cells     1833.010     66.1039 1.820054e+03 1.845966e+03
7 max_cells 13089357.553 870997.6419 1.291864e+07 1.326007e+07
8  time_max      108.425      0.1623 1.083932e+02 1.084568e+02
9   Q_cells      171.170     16.6915 1.678985e+02 1.744415e+02
