"rq_dist"	"bp_dist"	"t_start_dist"	"t_run_dist"	"b_div"	"mean_SSR_day5"	"mean_SSR_day6"	"mean_SSR_day7"	"mean_SSR_day8"	"total_SSR"	"mean_SSR_day5_exsmall"	"mean_SSR_day6_exsmall"	"mean_SSR_day7_exsmall"	"mean_SSR_day8_exsmall"	"total_SSR_exsmall"
"116"	"runif(1, min = 0, max = 1)"	"3.3 * rbeta(1, shape1 = 2, shape2 = 3)"	"rlnorm(families, meanlog = 1.5, sdlog = 0.2)"	"rlnorm(1, meanlog = 1, sdlog = 0.3)"	"sample(c(2,3), families, replace = TRUE)"	12553.5226467519	17576.7450230968	10650.0454132552	3695.58124780072	44475.8943309046	10034.1668567546	16116.7865097099	10647.5665237815	3690.1273540369	40488.6472442828
"117"	"runif(1, min = 0, max = 1)"	"3.3 * rbeta(1, shape1 = 2, shape2 = 3)"	"rlnorm(families, meanlog = 1.5, sdlog = 0.2)"	"3"	"sample(c(1,2,3,4), families, replace = TRUE)"	6269.32190783567	8893.92488675701	8272.24368136132	4980.44953364845	28415.9400096025	6151.3195661142	8033.40764237901	4304.36870551785	1379.49762493834	19868.5935389494
"118"	"runif(1, min = 0, max = 1)"	"3.3 * rbeta(1, shape1 = 2, shape2 = 3)"	"rlnorm(families, meanlog = 1.5, sdlog = 0.2)"	"3"	"sample(c(2,3,4), families, replace = TRUE)"	7848.64703098838	12177.6464389332	4557.80632193712	1581.77776811833	26165.877559977	5471.45626562159	10871.6488589495	4555.32743246342	1576.3238743545	22474.7564313891
"119"	"runif(1, min = 0, max = 1)"	"3.3 * rbeta(1, shape1 = 2, shape2 = 3)"	"rlnorm(families, meanlog = 1.5, sdlog = 0.2)"	"3"	"rep(3, families)"	17637.2221541411	21876.278976951	6466.0289940019	4545.6553953953	50525.1855204893	15251.1705513359	20550.598780292	6463.55010452819	4540.20150163148	46805.5209377875
"120"	"runif(1, min = 0, max = 1)"	"3.3 * rbeta(1, shape1 = 2, shape2 = 3)"	"rlnorm(families, meanlog = 1.5, sdlog = 0.2)"	"3"	"sample(c(2,3), families, replace = TRUE)"	10984.8970309884	15340.1898316967	8561.55778392543	2829.43844070123	37716.0830873117	8752.87129025213	13959.9617850114	8559.07889445172	2823.98454693741	34095.8965166527
"121"	"runif(1, min = 0, max = 1)"	"3.3 * rbeta(1, shape1 = 2, shape2 = 3)"	"rlnorm(families, meanlog = 1.5, sdlog = 0.2)"	"rlnorm(1, meanlog = 0.5, sdlog = 0.4)"	"sample(c(1,2,3,4), families, replace = TRUE)"	5229.42658763862	8808.73138911674	14270.1820529313	10268.3252926396	38576.6653223262	5111.36759567085	7746.27077819443	9188.53548464515	4595.35178187436	26641.5256403848
"122"	"runif(1, min = 0, max = 1)"	"3.3 * rbeta(1, shape1 = 2, shape2 = 3)"	"rlnorm(families, meanlog = 1.5, sdlog = 0.2)"	"rlnorm(1, meanlog = 0.5, sdlog = 0.4)"	"sample(c(2,3,4), families, replace = TRUE)"	6517.92781916572	13559.0218977691	11105.9336273802	6126.58206517578	37309.4654094908	4168.59789123735	12154.1112344084	11103.4547379065	6121.12817141196	33547.2920349642
"123"	"runif(1, min = 0, max = 1)"	"3.3 * rbeta(1, shape1 = 2, shape2 = 3)"	"rlnorm(families, meanlog = 1.5, sdlog = 0.2)"	"rlnorm(1, meanlog = 0.5, sdlog = 0.4)"	"rep(3, families)"	15586.5694447815	24361.7209014398	15802.2923768179	12791.3254094074	68541.9081324466	13129.2961670994	23012.5407047807	15799.8134873442	12785.8715156436	64727.5218748679
"124"	"runif(1, min = 0, max = 1)"	"3.3 * rbeta(1, shape1 = 2, shape2 = 3)"	"rlnorm(families, meanlog = 1.5, sdlog = 0.2)"	"rlnorm(1, meanlog = 0.5, sdlog = 0.4)"	"sample(c(2,3), families, replace = TRUE)"	12522.4462920721	20674.5247818802	18087.5303435296	13002.8847274831	64287.386144965	9755.48212769055	19034.9227184147	18085.0514540559	12997.4308337193	59872.8871338804
"125"	"runif(1, min = 0, max = 1)"	"3.3 * rbeta(1, shape1 = 2, shape2 = 3)"	"rlnorm(families, meanlog = 1.5, sdlog = 0.2)"	"rlnorm(1, meanlog = 0.7, sdlog = 0.4)"	"sample(c(1,2,3,4), families, replace = TRUE)"	5892.89579946128	8475.26285214768	11250.0848869394	6770.49939352701	32388.7429320753	5814.65084690238	7736.41944101562	6890.08215581024	2459.90105791359	22901.0535016418
