[1] "Table 3: characteristics of the response"
   variable        means           sd  lower_bound  upper_bound
1 max_cells  1852274.621  223523.7878 1.808464e+06 1.896085e+06
2  time_max        8.433       0.4224 8.350200e+00 8.515800e+00
3   Q_cells     2336.490      71.4539 2.322485e+03 2.350495e+03
4 max_cells  8452461.686  565356.0257 8.341652e+06 8.563271e+06
5  time_max       58.407       0.2289 5.836210e+01 5.845190e+01
6   Q_cells    10886.830     353.0812 1.081763e+04 1.095603e+04
7 max_cells 39556921.143 1772684.1353 3.920948e+07 3.990437e+07
8  time_max      108.398       0.1015 1.083781e+02 1.084179e+02
9   Q_cells    50768.680    1686.6283 5.043810e+04 5.109926e+04
