[1] "Table 3: characteristics of the response"
   variable        means           sd  lower_bound  upper_bound
1 max_cells  1822860.700  504245.0576 1.724029e+06 1.921693e+06
2  time_max        8.355       0.5960 8.238200e+00 8.471800e+00
3   Q_cells     2330.420      63.1778 2.318037e+03 2.342803e+03
4 max_cells  7765242.749  909988.3353 7.586885e+06 7.943600e+06
5  time_max       58.246       0.3580 5.817580e+01 5.831620e+01
6   Q_cells    10878.740     322.6025 1.081551e+04 1.094197e+04
7 max_cells 35795757.210 2322586.5733 3.534053e+07 3.625098e+07
8  time_max      108.325       0.2091 1.082840e+02 1.083660e+02
9   Q_cells    50777.110    1549.4249 5.047342e+04 5.108080e+04
