[1] "Table 3: characteristics of the response"
   variable        means           sd  lower_bound  upper_bound
1 max_cells  1840071.458  253446.7638 1.790396e+06 1.889747e+06
2  time_max        8.441       0.4304 8.356600e+00 8.525400e+00
3   Q_cells     2329.860      70.1948 2.316102e+03 2.343618e+03
4 max_cells  8337766.932  635059.7922 8.213295e+06 8.462239e+06
5  time_max       58.432       0.2424 5.838450e+01 5.847950e+01
6   Q_cells    10851.990     351.3319 1.078313e+04 1.092085e+04
7 max_cells 38313907.425 1681850.5555 3.798426e+07 3.864355e+07
8  time_max      108.434       0.1103 1.084124e+02 1.084556e+02
9   Q_cells    50628.810    1694.6534 5.029666e+04 5.096096e+04
